P4,Cz,F8,T7
26.019393399462864,25.95404464669753,-26.741715475487993,-22.68242355958359
25.80695099254735,-25.789213443278275,26.282398075428887,-24.994313824273892
-29.439356819727234,21.543451837049975,-34.09456449590539,22.517966928045837
-28.775994689793013,-22.641560826730622,-31.12606085064488,-21.411453965082305
21.633182866875995,24.006675494794568,-27.215466927007746,24.856126549125644
26.033665731999225,21.794054201357774,34.75964104759442,24.453722322993222
-22.36969912254336,-22.430648300523135,-30.38521353152801,-19.64912279168505
26.088108231700215,27.969940118616226,33.326908692910834,-19.583623518715267
-20.8883866517341,-25.014675090020692,-36.98207088820164,-20.073560364678027
23.619260570705816,-22.506194207149747,-35.2146430229477,21.03796489695618
27.941177289918578,-21.47457467603211,27.12134729259645,23.624071789486315
-26.141250302985117,19.312469628460445,36.70806426537571,-23.12623377583139
21.164194718438615,-23.258128719593323,37.70329436300103,-23.34358299747225
25.198484327834983,21.114870068837682,-27.19988790013453,-20.966517416724777
23.20648899420795,-23.69952412507852,-34.90152532763849,-23.660436099304093
-26.854905290191123,-27.197360973636638,-25.915651136837567,-18.618319374951998
21.771038091086208,24.16477974288215,38.56294566305717,-25.938965449474935
23.401677617432274,-19.23546867063363,-37.019498260211364,21.160590436176896
26.860729299887982,27.73361583076532,-31.67400576268848,18.959010302399424
29.51243404678824,20.251638223436014,-34.328242351610676,19.47547006222066
-21.55702044998452,-22.97746814551108,-31.069607150584186,25.7966987667482
-26.974418684154486,-27.727036823837267,-37.35702572474952,-26.00561038945107
29.50372620082008,23.028786463995363,29.11660297386859,26.252662013158645
-20.640894007013507,-22.857176274538322,28.031368792436137,-23.19035610902745
22.250516032335106,-26.295635054416373,37.43741590789982,21.50633436564933
-26.20942337592012,19.40849686444766,-35.068533785837325,23.32436190094291
27.800264900501034,20.96052836694938,32.728676391376844,-17.777338102111468
27.157644194199065,-27.64202830468797,-34.715384904949346,-24.522254865184102
27.91053624432505,21.210132154701185,-30.424193171868264,26.574507046977814
-20.220608683130852,-20.46671537981503,-30.971349579464164,-23.125806550461665
-24.358791054740202,-21.342099646635894,33.07607637995871,-20.902011657539155
21.86799278614183,20.564000532092283,27.831622351873598,24.626383009029777
-24.839853378884058,-18.807616474415838,36.05516645365803,22.061824659256267
21.498866460305173,-20.735930061653708,-37.361794066797195,-23.395954568069392
-25.142178930491433,-25.64895635577091,38.04966919806332,-22.841695215227812
26.316609728371603,26.4449341015949,-26.226430558018347,-24.40778793687918
-21.120338847586794,27.74529384723083,-34.36445440652901,26.21245521912536
25.1450386363617,22.5301972374635,27.32282960281124,-22.670297939276963
26.654988710690784,-22.25439759120985,34.03817213623666,18.956918503612165
-21.48765261223796,-23.676361164935614,-25.89533124233747,-22.914700892302672
-20.32579497535114,-27.664639417554934,31.38216774707564,22.478494521210273
-24.173594724689757,-19.042320188640094,28.223613748908935,25.136593782374142
28.565215904499148,18.763412163146654,35.92311000908807,-20.42300279261243
-22.240210047606794,19.860914826633294,-28.83132554546247,21.353216914499907
21.635523733996386,-21.873469578805164,-27.315569756091755,18.04406162345
-29.29976557151526,18.80945499505994,-31.505768975040112,24.561743122235676
28.869571806818065,-19.762441318890957,31.414597764584048,-21.605478386390295
26.556158391457977,-23.0958352489446,29.453566412666216,25.20372409134437
25.631221010249927,-27.114993436323427,-33.665604569950744,-26.168217824272794
29.015339161089265,-21.977684698687767,-38.01484889476462,20.367451435172743
-25.242803036050038,21.188968642564884,26.008768731794813,-24.78715024814445
26.289921326626832,26.420433426674958,-27.894602737327574,23.00249297764616
19.95736369362794,-21.194218393722043,36.57737255339716,-24.264494600175528
